Country,Code,Year_2016
Slovak Republic,SVK,5428704
Slovenia,SVN,2064845
Sweden,SWE,9903122
Swaziland,SWZ,1343098
Sint Maarten (Dutch part),SXM,40005
Seychelles,SYC,94677
Syrian Arab Republic,SYR,18430453
Turks and Caicos Islands,TCA,34900
Chad,TCD,14452543
East Asia & Pacific (IDA & IBRD countries),TEA,2026028438
Europe & Central Asia (IDA & IBRD countries),TEC,455372659
Togo,TGO,7606374
Thailand,THA,68863514
Tajikistan,TJK,8734951
Turkmenistan,TKM,5662544
Latin America & the Caribbean (IDA & IBRD countries),TLA,621534921
Timor-Leste,TLS,1268671
Middle East & North Africa (IDA & IBRD countries),TMN,369167489
Tonga,TON,107122
South Asia (IDA & IBRD),TSA,1766383450
Sub-Saharan Africa (IDA & IBRD countries),TSS,1033106135
Trinidad and Tobago,TTO,1364962
Tunisia,TUN,11403248
Turkey,TUR,79512426
Tuvalu,TUV,11097
Tanzania,TZA,55572201
Uganda,UGA,41487965
Ukraine,UKR,45004645
Upper middle income,UMC,2579909675
Uruguay,URY,3444006
United States,USA,323127513
Uzbekistan,UZB,31848200
St. Vincent and the Grenadines,VCT,109643
"Venezuela, RB",VEN,31568179
British Virgin Islands,VGB,30661
Virgin Islands (U.S.),VIR,102951
Vietnam,VNM,92701100
Vanuatu,VUT,270402
World,WLD,7442135578
Samoa,WSM,195125
Kosovo,XKX,1816200
"Yemen, Rep.",YEM,27584213
South Africa,ZAF,55908865
Zambia,ZMB,16591390
Zimbabwe,ZWE,16150362
